Project,Address,Round,Matching Amount
Decentralized Life Sciences Ecosystem,0x1963A6cc8DEb426AE196a95D9e91aC3dFFfC67cB,GR15 (Sep 2022),949.491606
Hibiscus DAO,0x1a6ef6cc28cf60aa0504cfb21cdffa48cfe3a8fb,Alpha (Jan 2023),5595.82
Permet,0x1a6ef6cc28cf60aa0504cfb21cdffa48cfe3a8fb,GG18 (Aug 2023),59.2459635
Permet,0x1a6EF6CC28cF60aa0504CfB21CdffA48Cfe3A8FB,GR15 (Sep 2022),2460.14795
Climate Fest,0x1a7ebd7351866a43cbf0c8c44016216ce882ec4d,GG19 (Nov 2023),593.599144
Project Toninas: Lahille's bottlenose dolphin as a coastal sentinel,0x1aC6a323322F3Dad7B7E286d57b6a654cb2a46d1,GR15 (Sep 2022),1962.97877
MRV Foundation (previously MRV101),0x1b4463971582f485138879f0e509c160beb8d5e6,Alpha (Jan 2023),3233.12
Plants And Pillars,0x1c4a70eadecc48e436efd0e997445d71df57a4ed,Alpha (Jan 2023),3559.4
Plants And Pillars,0x1c4a70eadecc48e436efd0e997445d71df57a4ed,GG18 (Aug 2023),1093.19745
Plants And Pillars,0x1C4a70EaDeCc48e436Efd0E997445D71DF57a4ED,Beta (May 2023),395.320489
Plants And Pillars,0x1C4a70EaDeCc48e436Efd0E997445D71DF57a4ED,GR15 (Sep 2022),4459.80968
"A place to host regenerative courses, classes and retreats for DAO's.",0x1C99f04AC435f37d86D7D7C0B93b5c3e966B8770,GR15 (Sep 2022),1.53682679
HeliosDAO - Reducing 10M tonnes of CO2 by 2030,0x1Ca49d4DDDEeC6A8838cBcdc2B968242f266dC58,GR13 (Mar 2022),65783.4496
HeliosDAO - Reducing 10M tonnes of CO2 by 2030,0x1Ca49d4DDDEeC6A8838cBcdc2B968242f266dC58,GR14 (Jun 2022),77.1659452
HeliosDAO - Reducing 10M tonnes of CO2 by 2030,0x1Ca49d4DDDEeC6A8838cBcdc2B968242f266dC58,GR15 (Sep 2022),4.94324165
Precious Plastic,0x1d2255E5B580bcAD8c7b5645D5B09Ee718411a6C,GR14 (Jun 2022),3.19697622
EkoDoku - Ethical Silk Production,0x1d62ca266a5113d219ae7d28d8a70b22448c63ec,GG19 (Nov 2023),645.634039
Awake - On-chain shareholder credentials,0x20c7F2a24f33cF4F02D2D185e49aC7B1C975d37f,GR15 (Sep 2022),2.13008442
Vean,0x20D1cC2212b56f7Fe4c80907a4f1DE74E2Ed5537,Beta (May 2023),246.814555
ReFi EBF - Activating the Ecological Benefits Framework 🐉,0x2119b7faadf53abc4c9993b7b66afa0c88bcabd5,GG19 (Nov 2023),1898.0257
The Ecological Benefits Framework,0x2119b7FaADf53Abc4c9993b7b66aFA0C88BCaBd5,Beta (May 2023),4592.15278
Bundle: Creative Works,0x2129fcc2bad30a0c7a448fe802265a14643092df,Alpha (Jan 2023),1743.01
The ReGen Games! Like the Olympics for Regeneration,0x21F9F77f867E321Df0747ad62e96602Bd603E734,GR15 (Sep 2022),44.2473127
Act Now Climate Change Bundle,0x221966004b2001a0da1274024d67cd09febd0b94,Alpha (Jan 2023),5514.99
GiveStation DAO,0x2275f722f01701Fb6a3A2f03D64e47245f5675AF,GR13 (Mar 2022),19.9499845
ORGO App Development Fund,0x230F969C7DC23A435015cFf0cD452CBb0C939825,GR14 (Jun 2022),75.3424964
ORGO App Development Fund,0x230F969C7DC23A435015cFf0cD452CBb0C939825,GR15 (Sep 2022),5.89751901
Ocean Sole,0x23785b68aef9b3c8c2074474671d1c23e88cb20c,GG18 (Aug 2023),2391.61236
Ocean Sole,0x23785b68aef9b3c8c2074474671d1c23e88cb20c,GG19 (Nov 2023),1379.89313
La Madriguera,0x23c0c5e0d894d006e4fe4520b6c3d91b7f9ef7ab,GG18 (Aug 2023),336.060212
La Madriguera,0x23c0c5e0d894d006e4fe4520b6c3d91b7f9ef7ab,GG19 (Nov 2023),1194.22679
DLTEO (soon to be Orbuculum),0x243f908eD9298Edd7fDe70E9C61EE3ee1Ef0D004,Beta (May 2023),120.822848
WaterDAO,0x24451D42d570d62b01c070956Ec3f61F43801036,Beta (May 2023),3914.18617
SENTIENT: Giving Voice to Earth's Rivers using Ai,0x24d825160887bdd4785b6f3bd8a9f10fcd367350,GG18 (Aug 2023),1041.326
Climecheck,0x2604AB91d49106EE861BbC2B6718A4EC25318fae,Beta (May 2023),339.114002
